u,v,y
2,99,1
2,100,1
2,101,1
2,102,1
2,103,1
2,104,1
2,105,1
2,106,0
2,107,1
2,108,1
2,109,0
2,110,1
2,111,2
2,112,1
2,113,1
2,114,1
2,115,1
2,116,1
2,117,0
2,118,1
2,119,0
2,120,1
2,121,1
2,122,0
2,123,0
2,124,1
2,125,1
2,126,1
2,127,1
2,128,1
2,129,1
2,130,1
2,131,1
2,132,1
2,133,1
2,134,1
2,135,1
2,136,1
2,137,1
2,138,1
2,139,1
2,140,1
2,141,1
2,142,1
2,143,1
2,144,1
2,145,1
2,146,2
2,147,1
2,148,0
2,149,1
2,150,1
2,151,1
2,152,1
2,153,1
2,154,1
2,155,1
2,156,1
2,157,1
2,158,0
2,159,1
2,160,0
2,161,1
2,162,0
2,163,1
2,164,1
2,165,1
2,166,1
2,167,1
2,168,0
2,169,1
2,170,1
2,171,1
2,172,1
2,173,1
2,174,1
2,175,0
2,176,1
2,177,0
2,178,1
2,179,1
2,180,1
2,181,1
2,182,1
2,183,1
2,184,0
2,185,1
2,186,1
2,187,1
2,188,1
2,189,1
2,190,1
2,191,1
2,192,0
2,193,0
2,194,1
2,195,1
2,196,1
2,197,1
2,198,0
2,199,1
2,200,0
3,1,1
3,2,1
3,3,1
3,4,1
3,5,0
3,6,1
3,7,1
3,8,0
3,9,1
3,10,1
3,11,0
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,0
3,18,0
3,19,1
3,20,1
3,21,0
3,22,1
3,23,1
3,24,1
3,25,0
3,26,1
3,27,1
3,28,1
3,29,1
3,30,0
3,31,0
3,32,1
3,33,1
3,34,1
3,35,1
3,36,0
3,37,1
3,38,1
3,39,0
3,40,1
3,41,0
3,42,1
3,43,1
3,44,0
3,45,1
3,46,1
3,47,1
3,48,0
3,49,1
3,50,1
3,51,1
3,52,0
3,53,1
3,54,1
3,55,0
3,56,1
3,57,1
3,58,1
3,59,1
3,60,1
3,61,1
3,62,1
3,63,1
3,64,1
3,65,1
3,66,1
3,67,2
3,68,1
3,69,0
3,70,1
3,71,1
3,72,1
3,73,0
3,74,1
3,75,1
3,76,1
3,77,0
3,78,1
3,79,1
3,80,0
3,81,1
3,82,1
3,83,0
3,84,0
3,85,0
3,86,0
3,87,1
3,88,0
3,89,1
3,90,1
3,91,1
3,92,1
3,93,1
3,94,0
3,95,1
3,96,0
3,97,2
3,98,1
3,99,1
3,100,1
3,101,1
3,102,1
3,103,1
3,104,1
3,105,1
3,106,1
3,107,0
3,108,0
3,109,1
3,110,1
3,111,1
3,112,1
3,113,1
3,114,1
3,115,0
3,116,0
3,117,1
3,118,1
3,119,1
3,120,1
3,121,0
3,122,1
3,123,1
3,124,1
3,125,2
3,126,1
3,127,1
3,128,1
3,129,1
3,130,1
3,131,1
3,132,0
3,133,1
3,134,0
3,135,1
3,136,1
3,137,1
3,138,1
3,139,1
3,140,0
3,141,1
3,142,1
3,143,1
3,144,1
3,145,0
3,146,1
3,147,1
3,148,1
3,149,1
3,150,1
3,151,1
3,152,1
3,153,0
3,154,1
3,155,1
3,156,0
3,157,1
3,158,1
3,159,1
3,160,0
3,161,0
3,162,1
3,163,1
3,164,0
3,165,1
3,166,0
3,167,1
3,168,1
3,169,0
3,170,1
3,171,1
3,172,1
3,173,1
3,174,0
3,175,1
3,176,0
3,177,1
3,178,1
3,179,1
3,180,1
3,181,2
3,182,1
3,183,1
3,184,1
3,185,1
3,186,1
3,187,2
3,188,1
3,189,1
3,190,1
3,191,0
3,192,1
3,193,1
3,194,1
3,195,0
3,196,1
3,197,1
3,198,1
3,199,1
3,200,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,1
4,6,0
4,7,1
4,8,1
4,9,1
4,10,0
4,11,1
4,12,1
4,13,1
4,14,1
4,15,1
4,16,0
4,17,0
4,18,1
4,19,0
4,20,1
4,21,1
4,22,1
4,23,0
4,24,1
4,25,1
4,26,1
4,27,1
4,28,0
4,29,1
4,30,1
4,31,2
4,32,1
4,33,0
4,34,1
4,35,1
4,36,1
4,37,0
4,38,0
4,39,1
4,40,0
4,41,0
4,42,1
4,43,0
4,44,1
4,45,1
4,46,0
4,47,1
4,48,0
4,49,1
4,50,1
4,51,1
4,52,1
4,53,1
4,54,1
4,55,1
4,56,0
4,57,0
4,58,0
4,59,1
4,60,1
4,61,1
4,62,2
4,63,1
4,64,1
4,65,0
4,66,1
4,67,1
4,68,0
4,69,1
4,70,1
4,71,1
4,72,1
4,73,1
4,74,1
4,75,0
4,76,1
4,77,1
4,78,1
4,79,1
4,80,1
4,81,1
4,82,1
4,83,1
4,84,1
4,85,1
4,86,1
4,87,1
4,88,0
4,89,1
4,90,2
4,91,0
4,92,0
4,93,1
4,94,1
4,95,1
4,96,0
4,97,1
4,98,1
4,99,1
4,100,0
4,101,0
4,102,1
4,103,1
4,104,1
4,105,2
4,106,1
4,107,1
4,108,1
4,109,1
4,110,0
4,111,0
4,112,1
4,113,0
4,114,1
4,115,1
4,116,1
4,117,1
4,118,0
4,119,1
4,120,1
4,121,0
4,122,1
4,123,0
4,124,1
4,125,0
4,126,1
4,127,1
4,128,1
4,129,0
4,130,1
4,131,1
4,132,1
4,133,1
4,134,1
4,135,0
4,136,0
4,137,1
4,138,1
4,139,1
4,140,1
4,141,1
4,142,1
4,143,1
4,144,1
4,145,1
4,146,1
4,147,0
4,148,1
4,149,1
4,150,1
4,151,1
4,152,1
4,153,0
4,154,1
4,155,1
4,156,1
4,157,0
4,158,0
4,159,1
4,160,1
4,161,1
4,162,1
4,163,1
4,164,1
4,165,2
4,166,1
4,167,1
4,168,0
4,169,0
4,170,0
4,171,1
4,172,1
4,173,1
4,174,0
4,175,1
4,176,1
4,177,1
4,178,0
4,179,0
4,180,1
4,181,0
4,182,1
4,183,1
4,184,1
4,185,1
4,186,1
4,187,1
4,188,1
4,189,1
4,190,1
4,191,0
4,192,1
4,193,1
4,194,1
4,195,1
4,196,1
4,197,1
4,198,0
4,199,1
4,200,1
5,1,2
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,0
5,8,2
5,9,0
5,10,1
5,11,1
5,12,1
5,13,1
5,14,1
5,15,0
5,16,1
5,17,1
5,18,1
5,19,1
5,20,1
5,21,1
5,22,0
5,23,1
5,24,1
5,25,0
5,26,1
5,27,1
5,28,1
5,29,1
5,30,0
5,31,1
5,32,1
5,33,0
5,34,2
5,35,1
5,36,1
5,37,1
5,38,1
5,39,1
5,40,1
5,41,1
5,42,1
5,43,1
5,44,1
5,45,0
5,46,1
5,47,1
5,48,1
5,49,1
5,50,1
5,51,0
5,52,2
5,53,0
5,54,1
5,55,1
5,56,1
5,57,1
5,58,1
5,59,1
5,60,1
5,61,1
5,62,1
5,63,1
5,64,0
5,65,1
5,66,1
5,67,1
5,68,2
5,69,2
5,70,1
5,71,1
5,72,1
5,73,1
5,74,1
5,75,0
5,76,1
5,77,1
5,78,1
5,79,1
5,80,1
5,81,1
5,82,1
5,83,1
5,84,1
5,85,1
5,86,1
5,87,1
5,88,1
5,89,0
5,90,1
5,91,1
5,92,0
5,93,0
5,94,1
5,95,1
5,96,1
5,97,0
5,98,1
5,99,1
5,100,1
5,101,0
5,102,1
5,103,1
5,104,0
5,105,1
5,106,1
5,107,1
5,108,1
5,109,0
5,110,1
5,111,1
5,112,1
5,113,1
5,114,1
5,115,0
5,116,1
5,117,0
5,118,1
5,119,1
5,120,1
5,121,1
5,122,2
5,123,1
5,124,0
5,125,1
5,126,1
5,127,1
5,128,1
5,129,1
5,130,1
5,131,0
5,132,1
5,133,0
5,134,0
5,135,0
5,136,1
5,137,0
5,138,0
5,139,0
5,140,1
5,141,1
5,142,0
5,143,1
5,144,1
5,145,1
5,146,1
5,147,1
5,148,0
5,149,0
5,150,1
5,151,1
5,152,1
5,153,1
5,154,1
5,155,0
5,156,1
5,157,1
5,158,1
5,159,1
5,160,1
5,161,2
5,162,0
5,163,1
5,164,1
5,165,1
5,166,0
5,167,1
5,168,1
5,169,1
5,170,1
5,171,0
5,172,1
5,173,1
5,174,1
5,175,1
5,176,0
5,177,1
5,178,1
5,179,1
5,180,1
5,181,1
5,182,1
5,183,1
5,184,0
5,185,1
5,186,1
5,187,0
5,188,1
5,189,1
5,190,1
5,191,1
5,192,0
5,193,1
5,194,1
5,195,1
5,196,1
5,197,1
5,198,0
5,199,0
5,200,1
6,1,1
6,2,1
6,3,1
6,4,1
6,5,0
6,6,1
6,7,0
6,8,1
6,9,1
6,10,1
6,11,0
6,12,1
6,13,1
6,14,1
6,15,0
6,16,1
6,17,1
6,18,0
6,19,1
6,20,1
6,21,1
6,22,0
6,23,1
6,24,1
6,25,0
6,26,1
6,27,0
6,28,1
6,29,0
6,30,1
6,31,0
6,32,0
6,33,1
6,34,1
6,35,0
6,36,1
6,37,1
6,38,1
6,39,1
6,40,1
6,41,1
6,42,1
6,43,0
6,44,1
6,45,1
6,46,1
6,47,1
6,48,1
6,49,1
6,50,1
6,51,1
6,52,1
6,53,1
6,54,1
6,55,1
6,56,1
6,57,1
6,58,1
6,59,1
6,60,1
6,61,0
6,62,1
6,63,1
6,64,1
6,65,1
6,66,0
6,67,1
6,68,0
6,69,1
6,70,1
6,71,1
6,72,1
6,73,1
6,74,0
6,75,1
6,76,1
6,77,1
6,78,1
6,79,1
6,80,1
6,81,1
6,82,1
6,83,0
6,84,1
6,85,1
6,86,1
6,87,1
6,88,0
6,89,1
6,90,0
6,91,1
6,92,0
6,93,1
6,94,1
6,95,1
6,96,1
6,97,0
6,98,1
6,99,1
6,100,1
6,101,1
6,102,1
6,103,1
6,104,1
6,105,2
6,106,1
6,107,0
6,108,0
6,109,1
6,110,1
6,111,1
6,112,1
6,113,1
6,114,0
6,115,1
6,116,1
6,117,1
6,118,0
6,119,1
6,120,1
6,121,1
6,122,1
6,123,1
6,124,1
6,125,1
6,126,1
6,127,1
6,128,1
6,129,1
6,130,1
6,131,1
6,132,0
6,133,1
6,134,1
6,135,1
6,136,1
6,137,0
6,138,1
6,139,1
6,140,1
6,141,0
6,142,1
6,143,0
6,144,1
6,145,1
6,146,0
6,147,1
6,148,0
6,149,0
6,150,0
6,151,1
6,152,1
6,153,1
6,154,1
6,155,1
6,156,1
6,157,1
6,158,1
6,159,1
6,160,1
6,161,1
6,162,1
6,163,0
6,164,1
6,165,1
6,166,1
6,167,0
6,168,0
6,169,1
6,170,1
6,171,0
6,172,1
6,173,1
6,174,1
6,175,1
6,176,1
6,177,1
6,178,1
6,179,1
6,180,1
6,181,1
6,182,1
6,183,1
6,184,0
6,185,1
6,186,1
6,187,1
6,188,0
6,189,1
6,190,1
6,191,1
6,192,1
6,193,1
6,194,0
6,195,1
6,196,1
6,197,1
6,198,1
6,199,0
6,200,1
7,1,1
7,2,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
7,8,0
7,9,1
7,10,1
7,11,1
7,12,1
7,13,1
7,14,0
7,15,1
7,16,1
7,17,0
7,18,1
7,19,1
7,20,1
7,21,1
7,22,0
7,23,1
7,24,1
7,25,0
7,26,1
7,27,1
7,28,1
7,29,0
7,30,1
7,31,1
7,32,1
7,33,1
7,34,1
7,35,1
7,36,1
7,37,2
7,38,1
7,39,1
7,40,1
7,41,1
7,42,1
7,43,1
7,44,0
7,45,2
7,46,1
7,47,0
7,48,0
7,49,0
7,50,0
7,51,1
7,52,0
7,53,1
7,54,0
7,55,1
7,56,1
7,57,1
7,58,1
7,59,1
7,60,1
7,61,1
7,62,1
7,63,1
7,64,0
7,65,1
7,66,1
7,67,1
7,68,1
7,69,2
7,70,1
7,71,1
7,72,1
7,73,0
7,74,1
7,75,1
7,76,1
7,77,1
7,78,2
7,79,1
7,80,0
7,81,1
7,82,0
7,83,1
7,84,1
7,85,0
7,86,1
7,87,1
7,88,0
7,89,0
7,90,2
7,91,1
7,92,1
7,93,0
7,94,1
7,95,2
7,96,0
7,97,1
7,98,1
7,99,0
7,100,1
7,101,0
7,102,0
7,103,1
7,104,1
7,105,1
7,106,1
7,107,1
7,108,0
7,109,1
7,110,1
7,111,1
7,112,0
7,113,1
7,114,1
7,115,1
7,116,0
7,117,1
7,118,1
7,119,1
7,120,0
7,121,0
7,122,1
7,123,1
7,124,1
7,125,0
7,126,0
7,127,1
7,128,1
7,129,1
7,130,1
7,131,1
7,132,1
7,133,1
7,134,1
7,135,1
7,136,1
7,137,1
7,138,1
7,139,1
7,140,1
7,141,1
7,142,1
7,143,1
7,144,1
7,145,1
7,146,1
7,147,1
7,148,1
7,149,1
7,150,0
7,151,1
7,152,1
7,153,1
7,154,1
7,155,1
7,156,1
7,157,1
7,158,1
7,159,1
7,160,1
7,161,1
7,162,1
7,163,1
7,164,1
7,165,1
7,166,1
7,167,1
7,168,1
7,169,1
7,170,0
7,171,1
7,172,1
7,173,0
7,174,1
7,175,1
7,176,1
7,177,0
7,178,1
7,179,1
7,180,0
7,181,0
7,182,0
7,183,1
7,184,1
7,185,1
7,186,1
7,187,1
7,188,0
7,189,0
7,190,1
7,191,1
7,192,0
7,193,1
7,194,1
7,195,2
7,196,1
7,197,0
7,198,1
7,199,1
7,200,1
8,1,1
8,2,0
8,3,0
8,4,1
8,5,1
8,6,0
8,7,1
8,8,1
8,9,1
8,10,1
8,11,1
8,12,0
8,13,1
8,14,1
8,15,1
8,16,2
8,17,1
8,18,0
8,19,1
8,20,1
8,21,1
8,22,1
8,23,1
8,24,2
8,25,1
8,26,1
8,27,0
8,28,1
8,29,1
8,30,0
8,31,1
8,32,0
8,33,1
8,34,1
8,35,1
8,36,1
8,37,1
8,38,0
8,39,1
8,40,1
8,41,1
8,42,1
8,43,1
8,44,1
8,45,1
8,46,1
8,47,0
8,48,1
8,49,1
8,50,0
8,51,1
8,52,0
8,53,1
8,54,1
8,55,1
8,56,1
8,57,1
8,58,1
8,59,1
8,60,0
8,61,1
8,62,1
8,63,1
8,64,1
8,65,1
8,66,1
8,67,1
8,68,1
8,69,1
8,70,0
8,71,1
8,72,1
8,73,0
8,74,1
8,75,1
8,76,2
8,77,1
8,78,1
8,79,1
8,80,1
8,81,1
8,82,1
8,83,1
8,84,1
8,85,1
8,86,1
8,87,1
8,88,1
8,89,1
8,90,1
8,91,1
8,92,1
8,93,0
8,94,1
8,95,2
8,96,1
8,97,1
8,98,1
8,99,1
8,100,1
8,101,1
8,102,1
8,103,0
8,104,1
8,105,1
8,106,1
8,107,1
8,108,1
8,109,1
8,110,0
8,111,1
8,112,1
8,113,0
8,114,1
8,115,1
8,116,1
8,117,1
8,118,1
8,119,1
8,120,1
8,121,1
8,122,1
8,123,1
8,124,0
8,125,1
8,126,0
8,127,0
8,128,1
8,129,1
8,130,1
8,131,1
8,132,1
8,133,1
8,134,0
8,135,1
8,136,1
8,137,2
8,138,0
8,139,1
8,140,1
8,141,1
8,142,1
8,143,1
8,144,0
8,145,0
8,146,1
8,147,1
8,148,1
8,149,1
8,150,1
8,151,1
8,152,0
8,153,1
8,154,1
8,155,1
8,156,1
8,157,1
8,158,2
8,159,1
8,160,2
8,161,1
8,162,1
8,163,1
8,164,0
8,165,1
8,166,1
8,167,1
8,168,1
8,169,0
8,170,1
8,171,1
8,172,0
8,173,1
8,174,1
8,175,1
8,176,0
8,177,1
8,178,1
8,179,1
8,180,1
8,181,1
8,182,1
8,183,1
8,184,0
8,185,1
8,186,1
8,187,1
8,188,0
8,189,1
8,190,0
8,191,1
8,192,1
8,193,1
8,194,1
8,195,0
8,196,1
8,197,1
8,198,1
8,199,1
8,200,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,1
9,6,0
9,7,0
9,8,1
9,9,1
9,10,0
9,11,1
9,12,1
9,13,1
9,14,1
9,15,0
9,16,0
9,17,1
9,18,1
9,19,1
9,20,1
9,21,0
9,22,1
9,23,1
9,24,0
9,25,1
9,26,1
9,27,1
9,28,1
9,29,1
9,30,0
9,31,2
9,32,0
9,33,1
9,34,1
9,35,1
9,36,1
9,37,1
9,38,1
9,39,1
9,40,1
9,41,1
9,42,1
9,43,1
9,44,1
9,45,1
9,46,0
9,47,1
9,48,1
9,49,1
9,50,1
9,51,1
9,52,1
9,53,1
9,54,1
9,55,1
9,56,1
9,57,2
9,58,1
9,59,1
9,60,1
9,61,1
9,62,1
9,63,1
9,64,1
9,65,0
9,66,1
9,67,1
9,68,1
9,69,1
9,70,1
9,71,1
9,72,1
9,73,1
9,74,1
9,75,0
9,76,1
9,77,1
9,78,1
9,79,1
9,80,0
9,81,1
9,82,1
9,83,1
9,84,1
9,85,1
9,86,1
9,87,1
9,88,1
9,89,2
9,90,1
9,91,1
9,92,0
9,93,2
9,94,0
9,95,1
9,96,0
9,97,1
9,98,1
9,99,0
9,100,1
9,101,1
9,102,1
9,103,1
9,104,0
9,105,1
9,106,1
9,107,1
9,108,0
9,109,1
9,110,0
9,111,0
9,112,1
9,113,1
9,114,1
9,115,1
9,116,1
9,117,1
9,118,1
9,119,1
9,120,1
9,121,1
9,122,1
9,123,1
9,124,2
9,125,1
9,126,1
9,127,1
9,128,0
9,129,0
9,130,1
9,131,1
9,132,1
9,133,1
9,134,1
9,135,1
9,136,1
9,137,1
9,138,1
9,139,1
9,140,1
9,141,1
9,142,0
9,143,1
9,144,1
9,145,1
9,146,0
9,147,1
9,148,0
9,149,2
9,150,1
9,151,1
9,152,0
9,153,1
9,154,1
9,155,1
9,156,1
9,157,1
9,158,1
9,159,1
9,160,1
9,161,0
9,162,1
9,163,1
9,164,0
9,165,1
9,166,1
9,167,0
9,168,1
9,169,1
9,170,1
9,171,0
9,172,1
9,173,0
9,174,1
9,175,1
9,176,1
9,177,1
9,178,1
9,179,1
9,180,1
9,181,1
9,182,0
9,183,0
9,184,1
9,185,1
9,186,1
9,187,1
9,188,1
9,189,0
9,190,0
9,191,1
9,192,1
9,193,1
9,194,1
9,195,0
9,196,1
9,197,1
9,198,1
9,199,1
9,200,1
10,1,1
10,2,1
10,3,1
10,4,0
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,1
10,11,1
10,12,1
10,13,1
10,14,1
10,15,1
10,16,0
10,17,1
10,18,1
10,19,0
10,20,1
10,21,1
10,22,1
10,23,0
10,24,0
10,25,1
10,26,1
10,27,1
10,28,1
10,29,1
10,30,1
10,31,1
10,32,1
10,33,1
10,34,0
10,35,1
10,36,1
10,37,1
10,38,1
10,39,1
10,40,1
10,41,0
10,42,1
10,43,1
10,44,1
10,45,1
10,46,1
10,47,1
10,48,1
10,49,0
10,50,0
10,51,1
10,52,1
10,53,1
10,54,1
10,55,0
10,56,1
10,57,1
10,58,1
10,59,0
10,60,1
10,61,1
10,62,1
10,63,0
10,64,1
10,65,1
10,66,0
10,67,1
10,68,1
10,69,1
10,70,1
10,71,1
10,72,0
10,73,0
10,74,1
10,75,0
10,76,1
10,77,1
10,78,1
10,79,1
10,80,1
10,81,0
10,82,1
10,83,1
10,84,1
10,85,1
10,86,1
10,87,0
10,88,1
10,89,1
10,90,1
10,91,1
10,92,0
10,93,0
10,94,1
10,95,0
10,96,1
10,97,1
10,98,1
10,99,1
10,100,1
10,101,1
10,102,1
10,103,1
10,104,1
10,105,1
10,106,1
10,107,1
10,108,1
10,109,0
10,110,1
10,111,1
10,112,1
10,113,1
10,114,1
10,115,1
10,116,1
10,117,1
10,118,1
10,119,0
10,120,0
10,121,1
10,122,1
10,123,0
10,124,1
10,125,1
10,126,1
10,127,1
10,128,1
10,129,0
10,130,1
10,131,1
10,132,1
10,133,1
10,134,1
10,135,1
10,136,1
10,137,1
10,138,1
10,139,1
10,140,0
10,141,1
10,142,1
10,143,0
10,144,1
10,145,0
10,146,1
10,147,1
10,148,1
10,149,1
10,150,1
10,151,1
10,152,0
10,153,1
10,154,1
10,155,1
10,156,1
10,157,1
10,158,0
10,159,1
10,160,1
10,161,1
10,162,1
10,163,0
10,164,1
10,165,1
10,166,1
10,167,1
10,168,1
10,169,1
10,170,1
10,171,1
10,172,1
10,173,1
10,174,2
10,175,0
10,176,1
10,177,0
10,178,1
10,179,1
10,180,1
10,181,1
10,182,1
10,183,1
10,184,1
10,185,1
10,186,1
10,187,1
10,188,1
10,189,1
10,190,1
10,191,1
10,192,1
10,193,1
10,194,1
10,195,1
10,196,0
10,197,1
10,198,0
10,199,1
10,200,1
11,1,1
11,2,1
11,3,0
11,4,0
11,5,1
11,6,0
11,7,1
11,8,0
11,9,1
11,10,1
11,11,1
11,12,1
11,13,1
11,14,1
11,15,1
11,16,0
11,17,1
11,18,0
11,19,1
11,20,1
11,21,1
11,22,1
11,23,1
11,24,1
11,25,1
11,26,1
11,27,1
11,28,0
11,29,1
11,30,1
11,31,1
11,32,1
11,33,1
11,34,1
11,35,0
11,36,0
11,37,1
11,38,1
11,39,1
11,40,0
11,41,1
11,42,1
11,43,1
11,44,1
11,45,1
11,46,1
11,47,1
11,48,1
11,49,1
11,50,1
11,51,1
11,52,1
11,53,1
11,54,1
11,55,1
11,56,0
11,57,1
11,58,1
11,59,1
11,60,1
11,61,1
11,62,1
11,63,1
11,64,1
11,65,1
11,66,1
11,67,1
11,68,1
11,69,2
11,70,0
11,71,0
11,72,0
11,73,1
11,74,1
11,75,0
11,76,0
11,77,1
11,78,1
11,79,2
11,80,1
11,81,1
11,82,0
11,83,1
11,84,0
11,85,1
11,86,1
11,87,1
11,88,1
11,89,1
11,90,0
11,91,1
11,92,1
11,93,0
11,94,1
11,95,0
11,96,1
11,97,1
11,98,1
11,99,1
11,100,1
11,101,1
11,102,0
11,103,1
11,104,1
11,105,0
11,106,0
11,107,1
11,108,1
11,109,1
11,110,1
11,111,0
11,112,0
11,113,1
11,114,1
11,115,1
11,116,1
11,117,0
11,118,1
11,119,1
11,120,1
11,121,1
11,122,1
11,123,1
11,124,1
11,125,0
11,126,1
11,127,1
11,128,1
11,129,1
11,130,1
11,131,1
11,132,1
11,133,1
11,134,1
11,135,1
11,136,1
11,137,1
11,138,1
11,139,1
11,140,1
11,141,1
11,142,1
11,143,1
11,144,0
11,145,1
11,146,0
11,147,1
11,148,0
11,149,1
11,150,1
11,151,1
11,152,1
11,153,1
11,154,1
11,155,0
11,156,0
11,157,1
11,158,1
11,159,1
11,160,1
11,161,0
11,162,1
11,163,1
11,164,1
11,165,1
11,166,1
11,167,0
11,168,1
11,169,1
11,170,1
11,171,1
11,172,1
11,173,1
11,174,1
11,175,1
11,176,1
11,177,1
11,178,0
11,179,1
11,180,1
11,181,1
11,182,0
11,183,1
11,184,0
11,185,1
11,186,1
11,187,1
11,188,2
11,189,1
11,190,1
11,191,1
11,192,0
11,193,1
11,194,1
11,195,0
11,196,1
11,197,1
11,198,0
11,199,1
11,200,1
12,1,1
12,2,1
12,3,1
12,4,1
12,5,1
12,6,0
12,7,1
12,8,2
12,9,1
12,10,1
12,11,1
12,12,1
12,13,1
12,14,1
12,15,1
12,16,1
12,17,1
12,18,1
12,19,1
12,20,1
12,21,1
12,22,1
12,23,1
12,24,1
12,25,1
12,26,1
12,27,1
12,28,1
12,29,1
12,30,0
12,31,1
12,32,1
12,33,1
12,34,0
12,35,0
12,36,1
12,37,1
12,38,1
12,39,2
12,40,1
12,41,1
12,42,1
12,43,1
12,44,0
12,45,1
12,46,1
12,47,1
12,48,1
12,49,1
12,50,1
12,51,1
12,52,1
12,53,0
12,54,0
12,55,1
12,56,1
12,57,1
12,58,1
12,59,0
12,60,1
12,61,1
12,62,1
12,63,1
12,64,1
12,65,1
12,66,1
12,67,0
12,68,1
12,69,1
12,70,1
12,71,1
12,72,1
12,73,0
12,74,0
12,75,0
12,76,1
12,77,1
12,78,0
12,79,1
12,80,1
12,81,1
12,82,1
12,83,0
12,84,1
12,85,1
12,86,1
12,87,0
12,88,1
12,89,1
12,90,1
12,91,1
12,92,1
12,93,1
12,94,1
12,95,1
12,96,1
12,97,1
12,98,0
12,99,1
12,100,1
12,101,1
12,102,1
12,103,1
12,104,1
12,105,1
12,106,1
12,107,1
12,108,0
12,109,1
12,110,1
12,111,1
12,112,1
12,113,0
12,114,1
12,115,1
12,116,1
12,117,1
12,118,1
12,119,0
12,120,1
12,121,1
12,122,1
12,123,1
12,124,0
12,125,0
12,126,1
12,127,1
12,128,1
12,129,1
12,130,1
12,131,1
