u,v,y
5,23,0
5,24,2
5,25,0
5,26,0
5,27,0
5,28,0
5,29,1
5,30,0
5,31,2
5,32,1
5,33,1
5,34,1
5,35,0
5,36,0
5,37,1
5,38,0
5,39,0
5,40,0
5,41,0
5,42,0
5,43,0
5,44,1
5,45,1
5,46,2
5,47,1
5,48,0
5,49,0
5,50,0
6,1,0
6,2,1
6,3,1
6,4,0
6,5,2
6,6,2
6,7,0
6,8,2
6,9,0
6,10,0
6,11,0
6,12,0
6,13,2
6,14,0
6,15,1
6,16,1
6,17,0
6,18,0
6,19,1
6,20,0
6,21,0
6,22,2
6,23,1
6,24,1
6,25,0
6,26,0
6,27,0
6,28,0
6,29,0
6,30,2
6,31,2
6,32,0
6,33,0
6,34,2
6,35,0
6,36,0
6,37,0
6,38,2
6,39,1
6,40,0
6,41,0
6,42,1
6,43,1
6,44,1
6,45,0
6,46,1
6,47,0
6,48,2
6,49,2
6,50,0
7,1,1
7,2,0
7,3,0
7,4,1
7,5,0
7,6,0
7,7,0
7,8,0
7,9,0
7,10,0
7,11,0
7,12,0
7,13,0
7,14,0
7,15,1
7,16,0
7,17,1
7,18,0
7,19,0
7,20,1
7,21,2
7,22,0
7,23,1
7,24,2
7,25,1
7,26,2
7,27,0
7,28,1
7,29,0
7,30,2
7,31,2
7,32,0
7,33,0
7,34,2
7,35,0
7,36,1
7,37,2
7,38,0
7,39,0
7,40,1
7,41,0
7,42,0
7,43,2
7,44,0
7,45,0
7,46,2
7,47,1
7,48,0
7,49,1
7,50,2
8,1,1
8,2,0
8,3,1
8,4,0
8,5,0
8,6,1
8,7,0
8,8,1
8,9,0
8,10,0
8,11,1
8,12,0
8,13,1
8,14,0
8,15,0
8,16,1
8,17,1
8,18,0
8,19,1
8,20,0
8,21,1
8,22,1
8,23,2
8,24,1
8,25,0
8,26,0
8,27,1
8,28,1
8,29,0
8,30,0
8,31,1
8,32,1
8,33,1
8,34,1
8,35,0
8,36,1
8,37,0
8,38,1
8,39,1
8,40,1
8,41,1
8,42,1
8,43,0
8,44,2
8,45,1
8,46,1
8,47,1
8,48,1
8,49,1
8,50,1
9,1,1
9,2,0
9,3,1
9,4,0
9,5,0
9,6,0
9,7,1
9,8,1
9,9,0
9,10,2
9,11,0
9,12,1
9,13,1
9,14,0
9,15,1
9,16,0
9,17,0
9,18,0
9,19,1
9,20,0
9,21,0
9,22,0
9,23,2
9,24,0
9,25,0
9,26,1
9,27,2
9,28,1
9,29,1
9,30,1
9,31,0
9,32,1
9,33,0
9,34,0
9,35,0
9,36,0
9,37,1
9,38,2
9,39,2
9,40,0
9,41,1
9,42,1
9,43,0
9,44,2
9,45,1
9,46,2
9,47,0
9,48,1
9,49,1
9,50,1
10,1,1
10,2,1
10,3,1
10,4,0
10,5,0
10,6,0
10,7,1
10,8,2
10,9,0
10,10,1
10,11,1
10,12,1
10,13,0
10,14,1
10,15,1
10,16,0
10,17,2
10,18,0
10,19,2
10,20,2
10,21,0
10,22,2
10,23,2
10,24,0
10,25,0
10,26,1
10,27,1
10,28,0
10,29,1
10,30,2
10,31,0
10,32,1
10,33,0
10,34,1
10,35,0
10,36,1
10,37,0
10,38,0
10,39,0
10,40,0
10,41,2
10,42,0
10,43,0
10,44,0
10,45,2
10,46,1
10,47,0
10,48,0
10,49,0
10,50,0
11,1,2
11,2,0
11,3,2
11,4,0
11,5,1
11,6,0
11,7,1
11,8,1
11,9,1
11,10,0
11,11,1
11,12,1
11,13,0
11,14,0
11,15,0
11,16,1
11,17,1
11,18,1
11,19,0
11,20,1
11,21,0
11,22,0
11,23,1
11,24,1
11,25,1
11,26,0
11,27,1
11,28,1
11,29,1
11,30,1
11,31,1
11,32,1
11,33,0
11,34,2
11,35,2
11,36,1
11,37,0
11,38,0
11,39,2
11,40,1
11,41,0
11,42,1
11,43,0
11,44,0
11,45,0
11,46,0
11,47,0
11,48,0
11,49,0
11,50,1
12,1,1
12,2,1
12,3,0
12,4,1
12,5,0
12,6,0
12,7,1
12,8,0
12,9,1
12,10,0
12,11,0
12,12,1
12,13,2
12,14,1
12,15,1
12,16,1
12,17,0
12,18,0
12,19,0
12,20,0
12,21,1
12,22,1
12,23,0
12,24,0
12,25,1
12,26,1
12,27,1
12,28,0
12,29,2
12,30,1
12,31,1
12,32,0
12,33,0
12,34,1
12,35,0
12,36,0
12,37,0
12,38,0
12,39,1
12,40,0
12,41,1
12,42,0
12,43,1
12,44,2
12,45,0
12,46,1
12,47,1
12,48,1
12,49,1
12,50,2
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,0
13,9,0
13,10,1
13,11,0
13,12,1
13,13,0
13,14,1
13,15,0
13,16,2
13,17,2
13,18,0
13,19,0
13,20,0
13,21,1
13,22,1
13,23,2
13,24,1
13,25,1
13,26,0
13,27,0
13,28,1
13,29,0
13,30,0
13,31,0
13,32,1
13,33,1
13,34,1
13,35,0
13,36,1
13,37,1
13,38,0
13,39,0
13,40,1
13,41,1
13,42,0
13,43,0
13,44,1
13,45,1
13,46,0
13,47,1
13,48,0
13,49,0
13,50,1
14,1,1
14,2,1
14,3,1
14,4,0
14,5,1
14,6,1
14,7,0
14,8,1
14,9,1
14,10,1
14,11,0
14,12,0
14,13,0
14,14,1
14,15,1
14,16,1
14,17,1
14,18,1
14,19,0
14,20,1
14,21,0
14,22,0
14,23,0
14,24,0
14,25,0
14,26,1
14,27,0
14,28,0
14,29,1
14,30,0
14,31,0
14,32,0
14,33,0
14,34,0
14,35,1
14,36,0
14,37,2
14,38,1
14,39,0
14,40,1
14,41,0
14,42,1
14,43,0
14,44,2
14,45,0
14,46,0
14,47,0
14,48,0
14,49,1
14,50,1
15,1,1
15,2,0
15,3,1
15,4,1
15,5,0
15,6,0
15,7,1
15,8,0
15,9,1
15,10,1
15,11,1
15,12,1
15,13,0
15,14,1
15,15,0
15,16,1
15,17,0
15,18,1
15,19,1
15,20,2
15,21,0
15,22,0
15,23,0
15,24,1
15,25,1
15,26,1
15,27,1
15,28,1
15,29,0
15,30,1
15,31,0
15,32,0
15,33,1
15,34,0
15,35,1
15,36,0
15,37,1
15,38,0
15,39,1
15,40,0
15,41,1
15,42,0
15,43,0
15,44,0
15,45,1
15,46,0
15,47,1
15,48,0
15,49,0
15,50,0
16,1,1
16,2,1
16,3,0
16,4,1
16,5,1
16,6,0
16,7,0
16,8,0
16,9,0
16,10,1
16,11,1
16,12,1
16,13,1
16,14,0
16,15,1
16,16,1
16,17,1
16,18,0
16,19,1
16,20,1
16,21,0
16,22,0
16,23,0
16,24,1
16,25,0
16,26,0
16,27,0
16,28,1
16,29,1
16,30,0
16,31,0
16,32,1
16,33,1
16,34,0
16,35,0
16,36,1
16,37,0
16,38,0
16,39,0
16,40,1
16,41,1
16,42,0
16,43,1
16,44,1
16,45,0
16,46,0
16,47,1
16,48,1
16,49,1
16,50,1
17,1,0
17,2,1
17,3,1
17,4,0
17,5,2
17,6,0
17,7,1
17,8,2
17,9,1
17,10,1
17,11,0
17,12,2
17,13,1
17,14,1
17,15,1
17,16,0
17,17,1
17,18,0
17,19,2
17,20,0
17,21,0
17,22,0
17,23,0
17,24,1
17,25,2
17,26,1
17,27,0
17,28,1
17,29,0
17,30,0
17,31,2
17,32,1
17,33,2
17,34,1
17,35,0
17,36,2
17,37,2
17,38,2
17,39,2
17,40,0
17,41,2
17,42,0
17,43,0
17,44,1
17,45,0
17,46,0
17,47,0
17,48,0
17,49,1
17,50,1
18,1,0
18,2,2
18,3,0
18,4,2
18,5,2
18,6,1
18,7,0
18,8,2
18,9,0
18,10,0
18,11,2
18,12,0
18,13,0
18,14,1
18,15,0
18,16,0
18,17,0
18,18,0
18,19,1
18,20,2
18,21,0
18,22,0
18,23,1
18,24,0
18,25,2
18,26,1
18,27,0
18,28,2
18,29,0
18,30,2
18,31,0
18,32,0
18,33,1
18,34,1
18,35,1
18,36,0
18,37,0
18,38,0
18,39,1
18,40,0
18,41,0
18,42,2
18,43,0
18,44,1
18,45,2
18,46,1
18,47,2
18,48,2
18,49,0
18,50,0
19,1,1
19,2,2
19,3,0
19,4,0
19,5,0
19,6,0
19,7,2
19,8,2
19,9,0
19,10,0
19,11,1
19,12,2
19,13,0
19,14,0
19,15,0
19,16,0
19,17,0
19,18,0
19,19,0
19,20,0
19,21,2
19,22,2
19,23,2
19,24,0
19,25,2
19,26,2
19,27,1
19,28,0
19,29,1
19,30,1
19,31,2
19,32,0
19,33,2
19,34,0
19,35,0
19,36,0
19,37,0
19,38,0
19,39,2
19,40,2
19,41,0
19,42,0
19,43,1
19,44,1
19,45,1
19,46,1
19,47,0
19,48,0
19,49,1
19,50,0
20,1,0
20,2,0
20,3,1
20,4,2
20,5,0
20,6,0
20,7,1
20,8,0
20,9,1
20,10,1
20,11,0
20,12,1
20,13,1
20,14,0
20,15,2
20,16,1
20,17,0
20,18,0
20,19,0
20,20,2
20,21,2
20,22,2
20,23,1
20,24,0
20,25,1
20,26,0
20,27,0
20,28,2
20,29,0
20,30,0
20,31,0
20,32,0
20,33,0
20,34,0
20,35,0
20,36,0
20,37,1
20,38,0
20,39,0
20,40,1
20,41,0
20,42,1
20,43,0
20,44,0
20,45,0
20,46,0
20,47,0
20,48,0
20,49,0
20,50,0
21,1,0
21,2,0
21,3,1
21,4,0
21,5,1
21,6,1
21,7,1
21,8,0
21,9,0
21,10,0
21,11,0
21,12,1
21,13,1
21,14,1
21,15,0
21,16,0
21,17,0
21,18,0
21,19,0
21,20,1
21,21,1
21,22,1
21,23,2
21,24,1
21,25,0
21,26,2
21,27,1
21,28,1
21,29,0
21,30,0
21,31,0
21,32,1
21,33,0
21,34,0
21,35,1
21,36,0
21,37,1
21,38,1
21,39,0
21,40,2
21,41,0
21,42,0
21,43,0
21,44,0
21,45,0
21,46,2
21,47,1
21,48,1
21,49,1
21,50,1
22,1,1
22,2,1
22,3,1
22,4,0
22,5,0
22,6,0
22,7,0
22,8,1
22,9,1
22,10,1
22,11,0
22,12,0
22,13,1
22,14,0
22,15,1
22,16,1
22,17,0
22,18,0
22,19,0
22,20,0
22,21,0
22,22,1
22,23,0
22,24,1
22,25,1
22,26,1
22,27,0
22,28,1
22,29,0
22,30,0
22,31,0
22,32,0
22,33,0
22,34,0
22,35,1
22,36,0
22,37,0
22,38,1
22,39,0
22,40,0
22,41,1
22,42,0
22,43,0
22,44,1
22,45,1
22,46,0
22,47,1
22,48,0
22,49,1
22,50,0
23,1,1
23,2,0
23,3,1
23,4,0
23,5,1
23,6,0
23,7,0
23,8,0
23,9,2
23,10,0
23,11,1
23,12,1
23,13,0
23,14,1
23,15,0
23,16,1
23,17,0
23,18,0
23,19,1
23,20,0
23,21,0
23,22,0
23,23,0
23,24,0
23,25,1
23,26,1
23,27,0
23,28,0
23,29,0
23,30,0
23,31,1
23,32,1
23,33,1
23,34,0
23,35,0
23,36,0
23,37,0
23,38,1
23,39,0
23,40,0
23,41,1
23,42,0
23,43,1
23,44,0
23,45,2
23,46,0
23,47,0
23,48,0
23,49,0
23,50,1
24,1,1
24,2,0
24,3,0
24,4,0
24,5,1
24,6,0
24,7,1
24,8,1
24,9,0
24,10,2
24,11,0
24,12,0
24,13,0
24,14,2
24,15,0
24,16,1
24,17,0
24,18,0
24,19,1
24,20,1
24,21,0
24,22,0
24,23,1
24,24,1
24,25,0
24,26,1
24,27,2
24,28,0
24,29,1
24,30,1
24,31,0
24,32,2
24,33,1
24,34,1
24,35,1
24,36,0
24,37,1
24,38,0
24,39,0
24,40,0
24,41,1
24,42,0
24,43,1
24,44,0
24,45,0
24,46,1
24,47,0
24,48,0
24,49,0
24,50,1
25,1,0
25,2,2
25,3,0
25,4,1
25,5,1
25,6,1
25,7,0
25,8,1
25,9,0
25,10,2
25,11,1
25,12,2
25,13,2
25,14,0
25,15,1
25,16,2
25,17,2
25,18,2
25,19,1
25,20,1
25,21,1
25,22,2
25,23,1
25,24,1
25,25,0
25,26,0
25,27,0
25,28,2
25,29,0
25,30,0
25,31,2
25,32,2
25,33,2
25,34,1
25,35,2
25,36,0
25,37,0
25,38,2
25,39,2
25,40,2
25,41,0
25,42,0
25,43,0
25,44,0
25,45,0
25,46,0
25,47,2
25,48,1
25,49,0
25,50,1
26,1,0
26,2,0
26,3,2
26,4,0
26,5,1
26,6,0
26,7,1
26,8,0
26,9,1
26,10,1
26,11,1
26,12,2
26,13,2
26,14,0
26,15,0
26,16,0
26,17,0
26,18,1
26,19,1
26,20,0
26,21,2
26,22,0
26,23,0
26,24,1
26,25,1
26,26,1
26,27,1
26,28,0
26,29,0
26,30,1
26,31,1
26,32,1
26,33,0
26,34,1
26,35,0
26,36,1
26,37,1
26,38,1
26,39,1
26,40,1
26,41,0
26,42,1
26,43,0
26,44,1
26,45,0
26,46,0
26,47,0
26,48,0
26,49,0
26,50,1
27,1,0
27,2,0
27,3,0
27,4,0
27,5,2
27,6,1
27,7,0
27,8,0
27,9,0
27,10,0
27,11,0
27,12,1
27,13,0
27,14,2
27,15,0
27,16,0
27,17,0
27,18,2
27,19,1
27,20,2
27,21,0
27,22,0
27,23,0
27,24,0
27,25,1
27,26,2
27,27,0
27,28,1
27,29,1
27,30,0
27,31,1
27,32,1
27,33,0
27,34,2
27,35,0
27,36,0
27,37,0
27,38,1
27,39,0
27,40,0
27,41,0
27,42,0
27,43,1
27,44,2
27,45,0
27,46,2
27,47,0
27,48,1
27,49,0
27,50,0
28,1,2
28,2,0
28,3,1
28,4,1
28,5,0
28,6,0
28,7,1
28,8,0
28,9,0
28,10,0
28,11,0
28,12,1
28,13,0
28,14,1
28,15,2
28,16,1
28,17,2
28,18,0
28,19,0
28,20,0
28,21,0
28,22,1
28,23,1
28,24,0
28,25,0
28,26,0
28,27,1
28,28,2
28,29,0
28,30,2
28,31,1
28,32,1
28,33,0
28,34,1
28,35,1
28,36,0
28,37,0
28,38,0
28,39,0
28,40,2
28,41,1
28,42,2
28,43,0
28,44,0
28,45,0
28,46,1
28,47,0
28,48,0
28,49,0
28,50,1
29,1,1
29,2,0
29,3,0
29,4,1
29,5,0
29,6,2
29,7,0
29,8,2
29,9,2
29,10,1
29,11,0
29,12,0
29,13,0
29,14,0
29,15,1
29,16,1
29,17,0
29,18,2
29,19,0
29,20,1
29,21,0
29,22,0
29,23,2
29,24,2
29,25,1
29,26,0
29,27,1
29,28,0
29,29,1
29,30,1
29,31,2
29,32,0
29,33,1
29,34,2
29,35,1
29,36,0
29,37,0
29,38,2
29,39,0
29,40,2
29,41,2
29,42,0
29,43,0
29,44,0
29,45,1
29,46,0
29,47,0
29,48,0
29,49,2
29,50,0
30,1,0
30,2,1
30,3,1
30,4,0
30,5,1
30,6,1
30,7,1
30,8,0
30,9,0
30,10,1
30,11,0
30,12,1
30,13,1
30,14,1
30,15,0
30,16,0
30,17,0
30,18,1
30,19,1
30,20,1
30,21,0
30,22,1
30,23,1
30,24,0
30,25,0
30,26,0
30,27,0
30,28,1
30,29,1
30,30,1
30,31,0
30,32,1
30,33,0
30,34,2
30,35,1
30,36,1
30,37,0
30,38,0
30,39,1
30,40,0
30,41,2
30,42,1
30,43,1
30,44,0
30,45,0
30,46,1
30,47,0
30,48,0
30,49,0
30,50,0
31,1,0
31,2,0
31,3,0
31,4,1
31,5,2
31,6,2
31,7,1
31,8,0
31,9,0
31,10,0
31,11,1
31,12,0
31,13,0
31,14,0
31,15,1
31,16,1
31,17,1
31,18,1
31,19,1
31,20,1
31,21,0
31,22,0
31,23,2
31,24,0
31,25,0
31,26,0
31,27,1
31,28,2
31,29,0
31,30,1
31,31,0
31,32,0
31,33,1
31,34,0
31,35,0
31,36,0
31,37,2
31,38,0
31,39,1
31,40,1
31,41,0
31,42,1
31,43,1
31,44,0
31,45,0
31,46,1
31,47,0
31,48,1
31,49,0
31,50,0
32,1,0
32,2,1
32,3,0
32,4,0
32,5,1
32,6,0
32,7,1
32,8,1
32,9,0
32,10,0
32,11,0
32,12,0
32,13,1
32,14,0
32,15,1
32,16,1
32,17,1
32,18,0
32,19,0
32,20,0
32,21,0
32,22,0
32,23,1
32,24,0
32,25,1
32,26,1
32,27,0
32,28,0
32,29,1
32,30,1
32,31,0
32,32,1
32,33,0
32,34,0
32,35,1
32,36,1
32,37,1
32,38,1
32,39,1
32,40,1
32,41,1
32,42,1
32,43,1
32,44,1
32,45,1
32,46,1
32,47,1
32,48,0
32,49,0
32,50,0
33,1,1
33,2,0
33,3,1
33,4,1
33,5,1
33,6,0
33,7,1
33,8,0
33,9,1
33,10,0
33,11,0
33,12,0
33,13,1
33,14,0
33,15,1
33,16,0
33,17,1
33,18,1
33,19,0
33,20,0
33,21,0
33,22,1
33,23,1
33,24,0
33,25,1
33,26,0
33,27,0
33,28,1
33,29,0
33,30,0
33,31,0
33,32,2
33,33,1
33,34,0
33,35,1
33,36,0
33,37,0
33,38,0
33,39,0
33,40,0
33,41,0
33,42,2
33,43,1
33,44,0
33,45,0
33,46,0
33,47,0
33,48,0
33,49,1
33,50,0
34,1,0
34,2,0
34,3,0
34,4,1
34,5,0
34,6,0
34,7,1
34,8,0
34,9,1
34,10,0
34,11,0
34,12,0
34,13,0
34,14,1
34,15,1
34,16,0
34,17,2
34,18,1
34,19,1
34,20,0
34,21,0
34,22,1
34,23,0
34,24,1
34,25,1
34,26,0
34,27,1
34,28,1
34,29,1
34,30,0
34,31,1
34,32,0
34,33,0
34,34,0
34,35,0
34,36,2
34,37,0
34,38,0
34,39,1
34,40,0
34,41,1
34,42,0
34,43,0
34,44,0
34,45,0
34,46,0
34,47,0
34,48,1
34,49,0
34,50,0
35,1,0
35,2,0
35,3,1
35,4,0
35,5,0
35,6,2
35,7,1
35,8,1
35,9,1
35,10,0
35,11,0
35,12,1
35,13,1
35,14,1
35,15,0
35,16,0
35,17,0
35,18,1
35,19,0
35,20,0
35,21,1
35,22,2
35,23,1
35,24,0
35,25,1
35,26,1
35,27,1
35,28,0
35,29,1
35,30,0
35,31,0
35,32,1
35,33,0
35,34,0
35,35,1
35,36,1
35,37,0
35,38,0
35,39,1
35,40,1
35,41,0
35,42,2
35,43,0
35,44,1
35,45,0
35,46,2
35,47,1
35,48,1
35,49,0
35,50,0
36,1,0
36,2,1
36,3,0
36,4,1
36,5,2
36,6,0
36,7,0
36,8,0
36,9,1
36,10,0
36,11,0
36,12,2
36,13,1
36,14,1
36,15,1
36,16,1
36,17,2
36,18,1
36,19,1
36,20,0
36,21,1
36,22,2
36,23,0
36,24,0
36,25,0
36,26,0
36,27,1
36,28,0
36,29,1
36,30,0
36,31,0
36,32,0
36,33,0
36,34,0
36,35,0
36,36,1
36,37,0
36,38,0
36,39,0
36,40,0
36,41,1
36,42,1
36,43,0
36,44,1
36,45,2
36,46,1
36,47,1
36,48,1
36,49,1
36,50,0
37,1,1
37,2,0
37,3,1
37,4,1
37,5,1
37,6,0
37,7,0
37,8,2
37,9,2
37,10,0
37,11,0
37,12,2
37,13,0
37,14,0
37,15,2
37,16,0
37,17,0
37,18,2
37,19,0
37,20,2
37,21,2
37,22,1
37,23,2
37,24,1
37,25,0
37,26,2
37,27,1
37,28,1
37,29,0
37,30,1
37,31,0
37,32,1
37,33,0
37,34,0
37,35,2
37,36,2
37,37,1
37,38,1
37,39,0
37,40,0
37,41,0
37,42,1
37,43,0
37,44,0
37,45,0
37,46,0
37,47,2
37,48,2
37,49,0
37,50,0
38,1,1
38,2,0
38,3,0
38,4,1
38,5,0
38,6,2
38,7,1
38,8,1
38,9,0
38,10,2
38,11,0
38,12,0
38,13,2
38,14,1
38,15,0
38,16,2
38,17,1
38,18,1
38,19,1
38,20,1
38,21,2
38,22,0
38,23,1
38,24,2
38,25,0
38,26,0
38,27,2
38,28,2
38,29,2
38,30,0
38,31,1
38,32,2
38,33,0
38,34,0
38,35,0
38,36,0
38,37,0
38,38,0
38,39,0
38,40,1
38,41,2
38,42,0
38,43,2
38,44,0
38,45,0
38,46,2
38,47,1
38,48,0
38,49,2
38,50,0
39,1,1
39,2,0
39,3,2
39,4,2
39,5,1
39,6,0
39,7,1
39,8,0
39,9,1
39,10,1
39,11,0
39,12,0
39,13,2
39,14,0
39,15,2
39,16,2
39,17,0
39,18,1
39,19,1
39,20,1
39,21,0
39,22,0
39,23,0
39,24,0
39,25,0
39,26,1
39,27,1
39,28,0
39,29,1
39,30,0
39,31,1
39,32,0
39,33,0
39,34,0
39,35,0
39,36,0
39,37,2
39,38,0
39,39,0
39,40,0
39,41,2
39,42,1
39,43,0
39,44,0
39,45,2
39,46,0
39,47,1
39,48,0
39,49,0
39,50,1
40,1,0
40,2,1
40,3,0
40,4,2
40,5,1
40,6,1
40,7,0
40,8,2
40,9,0
40,10,0
40,11,2
40,12,0
40,13,1
40,14,2
40,15,0
40,16,2
40,17,2
40,18,2
40,19,2
40,20,0
40,21,0
40,22,1
40,23,0
40,24,0
40,25,0
40,26,0
40,27,1
40,28,0
40,29,1
40,30,0
40,31,0
40,32,0
40,33,1
40,34,1
40,35,1
40,36,2
40,37,0
40,38,1
40,39,0
40,40,1
40,41,0
40,42,0
40,43,2
40,44,1
40,45,1
40,46,1
40,47,1
40,48,0
40,49,0
40,50,0
41,1,0
41,2,0
41,3,0
41,4,0
41,5,0
41,6,1
41,7,1
41,8,0
41,9,2
41,10,0
41,11,0
41,12,0
41,13,2
41,14,1
41,15,1
41,16,1
41,17,2
41,18,1
41,19,1
41,20,1
41,21,1
41,22,1
41,23,2
41,24,1
41,25,2
41,26,2
41,27,1
41,28,0
41,29,0
41,30,1
41,31,0
41,32,0
41,33,0
41,34,0
41,35,0
41,36,2
41,37,0
41,38,0
41,39,1
41,40,0
41,41,1
41,42,1
41,43,2
41,44,0
41,45,0
41,46,0
41,47,0
41,48,0
41,49,2
41,50,2
42,1,0
42,2,1
42,3,2
42,4,2
42,5,1
42,6,1
42,7,1
42,8,0
42,9,0
42,10,2
42,11,0
42,12,1
42,13,1
42,14,0
42,15,0
42,16,1
42,17,1
42,18,2
42,19,0
42,20,1
42,21,1
42,22,0
42,23,0
42,24,1
42,25,0
42,26,0
42,27,1
42,28,2
42,29,0
42,30,1
42,31,0
42,32,0
42,33,0
42,34,0
42,35,1
42,36,0
42,37,1
42,38,0
42,39,1
42,40,0
42,41,2
42,42,2
42,43,0
42,44,0
42,45,2
42,46,1
42,47,0
42,48,1
42,49,1
42,50,0
43,1,2
43,2,0
43,3,2
43,4,1
43,5,1
43,6,1
43,7,0
43,8,2
43,9,0
43,10,0
43,11,1
43,12,0
43,13,1
43,14,1
43,15,1
43,16,1
43,17,0
43,18,1
43,19,1
43,20,1
43,21,1
43,22,1
43,23,0
43,24,1
43,25,1
43,26,0
43,27,0
43,28,0
43,29,1
43,30,1
43,31,0
43,32,0
43,33,1
43,34,0
43,35,1
43,36,1
43,37,1
43,38,1
43,39,0
43,40,0
43,41,0
43,42,0
43,43,1
43,44,1
43,45,0
43,46,1
43,47,0
43,48,0
43,49,0
43,50,0
44,1,1
44,2,0
44,3,0
44,4,0
44,5,0
44,6,0
44,7,0
44,8,0
44,9,1
44,10,1
44,11,0
44,12,0
44,13,0
44,14,0
44,15,0
44,16,2
44,17,0
44,18,0
44,19,2
44,20,0
44,21,0
44,22,0
44,23,1
44,24,0
44,25,0
44,26,0
44,27,1
44,28,1
44,29,0
44,30,1
44,31,0
44,32,2
44,33,1
44,34,2
44,35,1
44,36,0
44,37,1
44,38,0
44,39,1
44,40,1
44,41,1
44,42,2
44,43,0
44,44,1
44,45,0
44,46,0
44,47,0
44,48,1
44,49,0
44,50,0
45,1,1
45,2,0
45,3,1
45,4,1
45,5,1
45,6,0
45,7,1
45,8,0
45,9,0
45,10,0
45,11,1
45,12,1
45,13,1
45,14,0
45,15,1
45,16,1
45,17,1
45,18,1
45,19,0
45,20,1
45,21,0
45,22,0
45,23,1
45,24,1
45,25,0
45,26,1
45,27,0
45,28,0
45,29,0
45,30,1
45,31,0
45,32,0
45,33,0
45,34,0
45,35,1
45,36,0
45,37,1
45,38,0
45,39,0
45,40,0
45,41,0
45,42,1
45,43,0
45,44,1
45,45,1
45,46,0
45,47,1
45,48,0
45,49,1
45,50,0
46,1,0
46,2,0
46,3,0
46,4,0
46,5,1
46,6,0
46,7,0
46,8,1
46,9,1
46,10,0
46,11,0
46,12,2
46,13,1
46,14,1
46,15,2
46,16,0
46,17,0
46,18,1
46,19,0
46,20,1
46,21,0
46,22,0
46,23,0
46,24,1
46,25,1
46,26,1
46,27,0
46,28,2
46,29,1
46,30,1
46,31,1
46,32,0
46,33,0
46,34,0
46,35,0
46,36,1
46,37,0
46,38,0
46,39,0
46,40,1
46,41,0
46,42,1
46,43,0
46,44,1
46,45,1
46,46,1
46,47,0
46,48,1
46,49,1
46,50,0
47,1,1
47,2,0
47,3,0
47,4,0
47,5,1
47,6,0
47,7,2
47,8,1
47,9,0
47,10,1
47,11,1
47,12,0
47,13,0
47,14,1
47,15,1
47,16,0
47,17,0
47,18,0
47,19,0
47,20,0
47,21,1
47,22,0
47,23,1
47,24,1
47,25,1
47,26,0
47,27,1
47,28,1
47,29,1
47,30,0
47,31,0
